estado,Município,Óbitos p/Residênc
RO,110001 Alta Floresta D'Oeste,1
RO,110037 Alto Alegre dos Parecis,2
RO,110040 Alto Paraíso,11
RO,110034 Alvorada D'Oeste,3
RO,110002 Ariquemes,61
RO,110045 Buritis,32
RO,110003 Cabixi,1
RO,110060 Cacaulândia,1
RO,110004 Cacoal,23
RO,110070 Campo Novo de Rondônia,2
RO,110080 Candeias do Jamari,16
RO,110090 Castanheiras,-
RO,110005 Cerejeiras,6
RO,110092 Chupinguaia,5
RO,110006 Colorado do Oeste,3
RO,110007 Corumbiara,4
RO,110008 Costa Marques,5
RO,110094 Cujubim,9
RO,110009 Espigão D'Oeste,9
RO,110100 Governador Jorge Teixeira,7
RO,110010 Guajará-Mirim,14
RO,110110 Itapuã do Oeste,7
RO,110011 Jaru,26
RO,110012 Ji-Paraná,50
RO,110013 Machadinho D'Oeste,19
RO,110120 Ministro Andreazza,6
RO,110130 Mirante da Serra,3
RO,110140 Monte Negro,4
RO,110014 Nova Brasilândia D'Oeste,11
RO,110033 Nova Mamoré,10
RO,110143 Nova União,1
RO,110050 Novo Horizonte do Oeste,2
RO,110015 Ouro Preto do Oeste,9
RO,110145 Parecis,4
RO,110018 Pimenta Bueno,14
RO,110146 Pimenteiras do Oeste,1
RO,110020 Porto Velho,228
RO,110025 Presidente Médici,2
RO,110147 Primavera de Rondônia,-
RO,110026 Rio Crespo,-
RO,110028 Rolim de Moura,13
RO,110029 Santa Luzia D'Oeste,-
RO,110148 São Felipe D'Oeste,1
RO,110149 São Francisco do Guaporé,1
RO,110032 São Miguel do Guaporé,5
RO,110150 Seringueiras,-
RO,110155 Teixeirópolis,2
RO,110160 Theobroma,5
RO,110170 Urupá,2
RO,110175 Vale do Anari,5
RO,110180 Vale do Paraíso,1
RO,110030 Vilhena,60
RO,110000 Município ignorado - RO,14
AC,120001 Acrelândia,7
AC,120005 Assis Brasil,2
AC,120010 Brasiléia,8
AC,120013 Bujari,5
AC,120017 Capixaba,3
AC,120020 Cruzeiro do Sul,24
AC,120025 Epitaciolândia,5
AC,120030 Feijó,8
AC,120032 Jordão,6
AC,120033 Mâncio Lima,3
AC,120034 Manoel Urbano,2
AC,120035 Marechal Thaumaturgo,3
AC,120038 Plácido de Castro,10
AC,120080 Porto Acre,8
AC,120039 Porto Walter,1
AC,120040 Rio Branco,239
AC,120042 Rodrigues Alves,-
AC,120043 Santa Rosa do Purus,-
AC,120050 Sena Madureira,7
AC,120045 Senador Guiomard,10
AC,120060 Tarauacá,14
AC,120070 Xapuri,8
