"";"Município";"2016";"Total"
"1";"TOTAL";62517;62517
"2";"110001 Alta Floresta D'Oeste";1;1
"3";"110037 Alto Alegre dos Parecis";2;2
"4";"110040 Alto Paraíso";10;10
"5";"110034 Alvorada D'Oeste";3;3
"6";"110002 Ariquemes";61;61
"7";"110045 Buritis";32;32
"8";"110003 Cabixi";1;1
"9";"110060 Cacaulândia";1;1
"10";"110004 Cacoal";23;23
"11";"110070 Campo Novo de Rondônia";2;2
"12";"110080 Candeias do Jamari";16;16
"13";"110005 Cerejeiras";6;6
"14";"110092 Chupinguaia";5;5
"15";"110006 Colorado do Oeste";2;2
"16";"110007 Corumbiara";4;4
"17";"110008 Costa Marques";5;5
"18";"110094 Cujubim";9;9
"19";"110009 Espigão D'Oeste";8;8
"20";"110100 Governador Jorge Teixeira";7;7
"21";"110010 Guajará-Mirim";14;14
"22";"110110 Itapuã do Oeste";7;7
"23";"110011 Jaru";24;24
"24";"110012 Ji-Paraná";44;44
"25";"110013 Machadinho D'Oeste";19;19
"26";"110120 Ministro Andreazza";6;6
"27";"110130 Mirante da Serra";3;3
"28";"110140 Monte Negro";4;4
"29";"110014 Nova Brasilândia D'Oeste";11;11
"30";"110033 Nova Mamoré";9;9
"31";"110143 Nova União";1;1
"32";"110050 Novo Horizonte do Oeste";1;1
"33";"110015 Ouro Preto do Oeste";9;9
"34";"110145 Parecis";4;4
"35";"110018 Pimenta Bueno";14;14
"36";"110146 Pimenteiras do Oeste";1;1
"37";"110020 Porto Velho";225;225
"38";"110025 Presidente Médici";2;2
"39";"110028 Rolim de Moura";13;13
"40";"110148 São Felipe D'Oeste";1;1
"41";"110149 São Francisco do Guaporé";1;1
"42";"110032 São Miguel do Guaporé";5;5
"43";"110155 Teixeirópolis";2;2
"44";"110160 Theobroma";5;5
"45";"110170 Urupá";1;1
"46";"110175 Vale do Anari";5;5
"47";"110180 Vale do Paraíso";1;1
"48";"110030 Vilhena";59;59
"49";"110000 Município ignorado - RO";14;14
"50";"120001 Acrelândia";7;7
"51";"120005 Assis Brasil";2;2
"52";"120010 Brasiléia";8;8
"53";"120013 Bujari";5;5
"54";"120017 Capixaba";3;3
"55";"120020 Cruzeiro do Sul";23;23
"56";"120025 Epitaciolândia";5;5
"57";"120030 Feijó";7;7
"58";"120032 Jordão";6;6
"59";"120033 Mâncio Lima";2;2
"60";"120034 Manoel Urbano";2;2
"61";"120035 Marechal Thaumaturgo";2;2
"62";"120038 Plácido de Castro";10;10
"63";"120080 Porto Acre";8;8
"64";"120039 Porto Walter";1;1
"65";"120040 Rio Branco";236;236
"66";"120050 Sena Madureira";7;7
"67";"120045 Senador Guiomard";10;10
"68";"120060 Tarauacá";11;11
"69";"120070 Xapuri";8;8
"70";"130010 Anori";2;2
"71";"130014 Apuí";7;7
"72";"130020 Atalaia do Norte";1;1
"73";"130030 Autazes";3;3
"74";"130040 Barcelos";17;17
"75";"130050 Barreirinha";3;3
"76";"130060 Benjamin Constant";3;3
"77";"130068 Boa Vista do Ramos";6;6
"78";"130070 Boca do Acre";11;11
"79";"130080 Borba";6;6
"80";"130083 Caapiranga";1;1
"81";"130090 Canutama";2;2
"82";"130100 Carauari";7;7
"83";"130110 Careiro";7;7
"84";"130120 Coari";50;50
"85";"130130 Codajás";5;5
"86";"130140 Eirunepé";19;19
