UF,COD. UF,COD. MUNIC,cidade, POPULAÇÃO ESTIMADA 
SP,35,00105,Adamantina, 35139 
SP,35,00204,Adolfo, 3609 
SP,35,00303,Aguaí, 35508 
SP,35,00402,Águas da Prata, 8104 
SP,35,00501,Águas de Lindóia, 18509 
SP,35,00550,Águas de Santa Bárbara, 6009 
SP,35,00600,Águas de São Pedro, 3268 
SP,35,00709,Agudos, 36880 
SP,35,00758,Alambari, 5754 
SP,35,00808,Alfredo Marcondes, 4135 
SP,35,00907,Altair, 4109 
SP,35,01004,Altinópolis, 16219 
SP,35,01103,Alto Alegre, 4154 
SP,35,01152,Alumínio, 18324 
SP,35,01202,Álvares Florence, 3795 
SP,35,01301,Álvares Machado, 24813 
SP,35,01400,Álvaro de Carvalho, 5119 
SP,35,01509,Alvinlândia, 3196 
SP,35,01608,Americana, 233868 
SP,35,01707,Américo Brasiliense, 39189 
SP,35,01806,Américo de Campos, 5967 
SP,35,01905,Amparo, 71193 
SP,35,02002,Analândia, 4845 
SP,35,02101,Andradina, 57350 
SP,35,02200,Angatuba, 24634 
SP,35,02309,Anhembi, 6484 
SP,35,02408,Anhumas, 4053 
SP,35,02507,Aparecida, 36279 
SP,35,02606,Aparecida d'Oeste, 4329 
SP,35,02705,Apiaí, 24945 
SP,35,02754,Araçariguama, 21038 
SP,35,02804,Araçatuba, 194874 
SP,35,02903,Araçoiaba da Serra, 32495 
SP,35,03000,Aramina, 5552 
SP,35,03109,Arandu, 6368 
SP,35,03158,Arapeí, 2509 
SP,35,03208,Araraquara, 230770 
SP,35,03307,Araras, 131282 
SP,35,03356,Arco-Íris, 1856 
SP,35,03406,Arealva, 8452 
SP,35,03505,Areias, 3879 
SP,35,03604,Areiópolis, 11107 
SP,35,03703,Ariranha, 9451 
SP,35,03802,Artur Nogueira, 51986 
SP,35,03901,Arujá, 86430 
SP,35,03950,Aspásia, 1842 
SP,35,04008,Assis, 102924 
SP,35,04107,Atibaia, 139683 
SP,35,04206,Auriflama, 15085 
SP,35,04305,Avaí, 5337 
SP,35,04404,Avanhandava, 13112 
SP,35,04503,Avaré, 89479 
SP,35,04602,Bady Bassitt, 16843 
SP,35,04701,Balbinos, 5188 
SP,35,04800,Bálsamo, 8908 
SP,35,04909,Bananal, 10867 
SP,35,05005,Barão de Antonina, 3406 
SP,35,05104,Barbosa, 7251 
SP,35,05203,Bariri, 34602 
SP,35,05302,Barra Bonita, 36331 
SP,35,05351,Barra do Chapéu, 5653 
SP,35,05401,Barra do Turvo, 7781 
SP,35,05500,Barretos, 120638 
SP,35,05609,Barrinha, 31921 
SP,35,05708,Barueri, 267534 
SP,35,05807,Bastos, 21073 
SP,35,05906,Batatais, 61480 
SP,35,06003,Bauru, 371690 
SP,35,06102,Bebedouro, 77761 
SP,35,06201,Bento de Abreu, 2925 
SP,35,06300,Bernardino de Campos, 11180 
SP,35,06359,Bertioga, 59297 
SP,35,06409,Bilac, 7837 
SP,35,06508,Birigui, 120692 
SP,35,06607,Biritiba-Mirim, 31793 
SP,35,06706,Boa Esperança do Sul, 14727 
SP,35,06805,Bocaina, 12040 
SP,35,06904,Bofete, 11236 
SP,35,07001,Boituva, 57910 
SP,35,07100,Bom Jesus dos Perdões, 24023 
SP,35,07159,Bom Sucesso de Itararé, 3888 
SP,35,07209,Borá, 839 
SP,35,07308,Boracéia, 4717 
SP,35,07407,Borborema, 15791 
SP,35,07456,Borebi, 2577 
SP,35,07506,Botucatu, 142546 
SP,35,07605,Bragança Paulista, 164163 
SP,35,07704,Braúna, 5557 
SP,35,07753,Brejo Alegre, 2812 
SP,35,07803,Brodowski, 24092 
SP,35,07902,Brotas, 23858 
SP,35,08009,Buri, 19737 
SP,35,08108,Buritama, 16841 
SP,35,08207,Buritizal, 4408 
SP,35,08306,Cabrália Paulista, 4352 
SP,35,08405,Cabreúva, 47877 
SP,35,08504,Caçapava, 92587 
SP,35,08603,Cachoeira Paulista, 32773 
SP,35,08702,Caconde, 19025 
SP,35,08801,Cafelândia, 17645 
SP,35,08900,Caiabu, 4211 
SP,35,09007,Caieiras, 98223 
SP,35,09106,Caiuá, 5695 
SP,35,09205,Cajamar, 73921 
SP,35,09254,Cajati, 28870 
SP,35,09304,Cajobi, 10444 
SP,35,09403,Cajuru, 25655 
SP,35,09452,Campina do Monte Alegre, 5963 
SP,35,09502,Campinas, 1182429 
SP,35,09601,Campo Limpo Paulista, 82520 
SP,35,09700,Campos do Jordão, 51454 
SP,35,09809,Campos Novos Paulista, 4900 
SP,35,09908,Cananéia, 12609 
SP,35,09957,Canas, 4975 
SP,35,10005,Cândido Mota, 31263 
SP,35,10104,Cândido Rodrigues, 2792 
SP,35,10153,Canitar, 5025 
SP,35,10203,Capão Bonito, 47463 
SP,35,10302,Capela do Alto, 20005 
SP,35,10401,Capivari, 54298 
SP,35,10500,Caraguatatuba, 116786 
SP,35,10609,Carapicuíba, 396587 
SP,35,10708,Cardoso, 12328 
SP,35,10807,Casa Branca, 30144 
SP,35,10906,Cássia dos Coqueiros, 2591 
SP,35,11003,Castilho, 20362 
SP,35,11102,Catanduva, 120691 
SP,35,11201,Catiguá, 7700 
SP,35,11300,Cedral, 8971 
SP,35,11409,Cerqueira César, 19495 
SP,35,11508,Cerquilho, 46733 
SP,35,11607,Cesário Lange, 17587 
