UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA 
SP,35,00105,Adamantina,35.023
SP,35,00204,Adolfo,3.571
SP,35,00303,Aguaí,35.954
SP,35,00402,Águas da Prata,8.137
SP,35,00501,Águas de Lindóia,18.599
SP,35,00550,Águas de Santa Bárbara,6.040
SP,35,00600,Águas de São Pedro,3.380
SP,35,00709,Agudos,37.023
SP,35,00758,Alambari,5.918
SP,35,00808,Alfredo Marcondes,4.147
SP,35,00907,Altair,4.134
SP,35,01004,Altinópolis,16.164
SP,35,01103,Alto Alegre,4.110
SP,35,01152,Alumínio,18.484
SP,35,01202,Álvares Florence,3.712
SP,35,01301,Álvares Machado,24.830
SP,35,01400,Álvaro de Carvalho,5.179
SP,35,01509,Alvinlândia,3.206
SP,35,01608,Americana,237.112
SP,35,01707,Américo Brasiliense,39.962
SP,35,01806,Américo de Campos,5.956
SP,35,01905,Amparo,71.700
SP,35,02002,Analândia,4.933
SP,35,02101,Andradina,57.112
SP,35,02200,Angatuba,24.969
SP,35,02309,Anhembi,6.627
SP,35,02408,Anhumas,4.085
SP,35,02507,Aparecida,36.129
SP,35,02606,Aparecida d'Oeste,4.234
SP,35,02705,Apiaí,24.526
SP,35,02754,Araçariguama,21.854
SP,35,02804,Araçatuba,195.874
SP,35,02903,Araçoiaba da Serra,33.499
SP,35,03000,Aramina,5.585
SP,35,03109,Arandu,6.348
SP,35,03158,Arapeí,2.478
SP,35,03208,Araraquara,233.744
SP,35,03307,Araras,132.934
SP,35,03356,Arco-Íris,1.811
SP,35,03406,Arealva,8.505
SP,35,03505,Areias,3.876
SP,35,03604,Areiópolis,11.099
SP,35,03703,Ariranha,9.573
SP,35,03802,Artur Nogueira,53.450
SP,35,03901,Arujá,88.455
SP,35,03950,Aspásia,1.825
SP,35,04008,Assis,103.666
SP,35,04107,Atibaia,141.398
SP,35,04206,Auriflama,15.123
SP,35,04305,Avaí,5.369
SP,35,04404,Avanhandava,13.433
SP,35,04503,Avaré,90.063
SP,35,04602,Bady Bassitt,17.236
SP,35,04701,Balbinos,5.532
