"cidade" "ano" "homic" "furto" "roubo" "veicu"
"17" "Adamantina" 2017 1 206 6 11
"34" "Adolfo" 2017 1 40 0 2
"51" "Aguaí" 2017 1 380 59 22
"68" "Águas da Prata" 2017 0 43 2 6
"85" "Águas de Lindóia" 2017 1 164 21 27
"102" "Águas de Santa Bárbara" 2017 0 74 8 3
"119" "Águas de São Pedro" 2017 0 21 1 4
"136" "Agudos" 2017 5 449 63 45
"153" "Alambari" 2017 0 39 15 0
"170" "Alfredo Marcondes" 2017 1 22 0 0
"187" "Altair" 2017 1 20 1 1
"204" "Altinópolis" 2017 2 132 11 14
"221" "Alto Alegre" 2017 0 20 0 1
"238" "Alumínio" 2017 2 143 21 16
"255" "Álvares Florence" 2017 0 45 0 3
"272" "Álvares Machado" 2017 1 240 15 12
"289" "Álvaro de Carvalho" 2017 0 46 0 0
"306" "Alvinlândia" 2017 0 24 0 0
"323" "Americana" 2017 16 3 733 1
"340" "Américo Brasiliense" 2017 4 244 49 19
"357" "Américo de Campos" 2017 0 109 3 6
"374" "Amparo" 2017 1 593 75 87
"391" "Analândia" 2017 1 55 5 5
"408" "Andradina" 2017 9 788 35 35
"425" "Angatuba" 2017 3 236 32 24
"442" "Anhembi" 2017 4 23 3 2
"459" "Anhumas" 2017 0 31 1 0
"476" "Aparecida d'Oeste" 2017 0 32 1 2
"493" "Aparecida" 2017 2 848 212 62
"510" "Apiaí" 2017 4 251 11 11
"527" "Araçariguama" 2017 2 231 68 49
"544" "Araçatuba" 2017 19 2 395 222
"561" "Araçoiaba da Serra" 2017 2 413 65 33
"578" "Aramina" 2017 0 67 20 1
"595" "Arandu" 2017 0 39 1 1
"612" "Arapeí" 2017 0 22 1 0
"629" "Araraquara" 2017 11 3 763 372
"646" "Araras" 2017 9 1 268 381
"663" "Arco-Íris" 2017 0 6 0 0
"680" "Arealva" 2017 1 131 5 12
"697" "Areias" 2017 0 15 1 0
"714" "Areiópolis" 2017 1 45 7 0
"731" "Ariranha" 2017 1 43 4 6
"748" "Artur Nogueira" 2017 2 500 114 164
"765" "Arujá" 2017 11 566 437 367
"782" "Aspásia" 2017 0 4 0 0
"799" "Assis" 2017 10 1 174 180
"816" "Atibaia" 2017 10 1 628 365
"833" "Auriflama" 2017 1 84 6 11
"850" "Avaí" 2017 0 39 1 1
"867" "Avanhandava" 2017 2 72 7 5
"884" "Avaré" 2017 5 858 65 53
"901" "Bady Bassitt" 2017 1 112 16 33
"918" "Balbinos" 2017 1 10 0 1
"935" "Bálsamo" 2017 1 100 0 6
"952" "Bananal" 2017 0 47 0 3
"969" "Barão de Antonina" 2017 0 12 1 1
"986" "Barbosa" 2017 1 68 3 2
"1003" "Bariri" 2017 0 512 39 24
"1020" "Barra Bonita" 2017 0 371 36 48
"1037" "Barra do Chapéu" 2017 0 17 4 0
"1054" "Barra do Turvo" 2017 0 99 19 8
"1071" "Barretos" 2017 9 2 214 286
"1088" "Barrinha" 2017 1 191 68 24
"1105" "Barueri" 2017 28 1 1 517
"1122" "Bastos" 2017 1 160 7 4
"1139" "Batatais" 2017 4 642 63 107
"1156" "Bauru" 2017 26 5 1 774
"1173" "Bebedouro" 2017 4 920 198 179
"1190" "Bento de Abreu" 2017 0 25 0 0
"1207" "Bernardino de Campos" 2017 1 105 2 3
"1224" "Bertioga" 2017 8 1 403 139
"1241" "Bilac" 2017 0 42 4 2
"1258" "Birigui" 2017 10 1 221 147
"1275" "Biritiba Mirim" 2017 0 275 32 20
"1292" "Boa Esperança do Sul" 2017 1 115 16 3
"1309" "Bocaina" 2017 1 111 10 7
"1326" "Bofete" 2017 0 60 3 1
"1343" "Boituva" 2017 6 486 132 170
"1360" "Bom Jesus dos Perdões" 2017 1 172 35 44
"1377" "Bom Sucesso de Itararé" 2017 1 19 2 2
"1394" "Borá" 2017 0 2 0 0
"1411" "Boracéia" 2017 1 63 0 3
"1428" "Borborema" 2017 0 139 9 13
"1445" "Borebi" 2017 0 24 0 0
"1462" "Botucatu" 2017 5 1 60 35
"1479" "Bragança Paulista" 2017 11 2 323 159
"1496" "Braúna" 2017 0 25 1 2
"1513" "Brejo Alegre" 2017 1 36 1 1
"1530" "Brodowski" 2017 2 176 28 24
"1547" "Brotas" 2017 0 254 26 20
"1564" "Buri" 2017 3 190 17 6
"1581" "Buritama" 2017 2 208 12 14
"1598" "Buritizal" 2017 0 64 3 2
"1615" "Cabrália Paulista" 2017 0 66 3 3
"1632" "Cabreúva" 2017 1 273 61 27
"1649" "Caçapava" 2017 12 871 395 287
"1666" "Cachoeira Paulista" 2017 1 288 40 44
"1683" "Caconde" 2017 1 102 7 13
"1700" "Cafelândia" 2017 0 213 15 6
"1717" "Caiabu" 2017 0 20 2 0
